1100
"1100S Coupe"
"1100 TV Spider"
1200
"1200 Cabriolet"
"1200 Spyder"
124
"124 1.4"
"124 1.6"
"124 Break"
"124 Coupe 1800"
"124 Special T"
"124 Spider 1400"
"124 Spider 1600"
"124 Spider 1800"
125
"125 Saloon"
126
"126 0.7"
127
"127 1.0"
"127 1.3"
"127 1.3 D"
"127 L"
"127 Panorama"
"127 Panorama 1.3 D"
"127 Sport"
"128 1100 SL Coupe"
"128 Coupe"
"128 Coupe 1.3"
"128 Estate"
"128 Panorama"
"128 Rallye"
130
1300
"1300 1.5"
"130 3.2"
"130 Coupe"
"130 Opera"
"130 Saloon Automatic"
131
"131 1.3"
"131 1.4"
"131 1.6"
"131 2.0"
"131 2.4 D"
"131 Abarth"
"131 Panorama"
"131 Panorama 1.6"
"131 Panorama 2.0"
"131 Panorama 2.0 Diesel"
"131 Panorama 2.4 D"
"131 Racing"
132
"132 1800"
"132 1800 ES"
"132 2000 GLS"
"132 Diesel 2000"
"132 Diesel 2500"
133
1400
"1400 1.9 D"
"1400 1.9D"
"1400 B"
"1400B"
"1400D 1.9"
1500
"1500 1600 Cabriolet"
"1500 Cabriolet"
"1500 E"
"1500 S"
"1600 Cabriolet"
1800
"1800 B"
1900
"1900 1.9"
"1900 B"
"1900B"
"2100 Coupe Vignale"
2300
"2300 Coupe"
"2300 Coupe S"
500
"500 0.6"
"500 1.2"
"500 1.2 Fire"
"500 1.3 Multijet"
"500 1.4"
"500 1.4 Fire"
"500 Abarth 1.4 Turbo"
"500B"
"500 Break"
"500 C Topolino"
"500C Topolino"
"500 Gamine"
"500 Giardiniera"
"500 Topolino"
600
"600D Multipla"
"600 Multipla"
"600 Multipla 0.8"
"600 Multipla 800"
"750 Berlina Abarth"
"750 MM Topolino"
850
"850 Berlina Abarth"
"850 Coupe"
"850 Coupe Mk II"
"850 Coupe MK II"
"850 Coupe MK III"
"850 Sport Coupe"
"8V Coupe"
"Abarth Volumetrico 131"
"Albea"
"Albea 1.2"
"Albea 1.6"
"Albea 178"
"Argenta"
"Argenta 2.0"
"Argenta 2.4 D"
"Armadillo"
"Barchetta"
"Berline Speciale"
"Berline Speciale 2.3"
"Berline Speciale 2300"
"Brava"
"Brava 1.6"
"Brava 1.7"
"Brava 1.9 D"
"Bravo 100 SX"
"Bravo 1.2 SX80"
"Bravo 1.4"
"Bravo 1.4 16V"
"Bravo 1.4 SX"
"Bravo 1.4 T-Jet"
"Bravo 1.4 T-Jet Active"
"Bravo 1.4 T-Jet Dynamic"
"Bravo 1.4 T-Jet Sport"
"Bravo 155 HGT"
"Bravo 1.6 Multijet"
"Bravo 1.8 HLX"
"Bravo 1.9 16V Multijet"
"Bravo 1.9 8V Multijet"
"Bravo 1.9 M-jet"
"Bravo 1.9 Multijet"
"Bravo 1.9 Multijet Dynamic"
"Bravo 2.0 Multijet"
"Bravo JTD 105 SX"
"Bravo TD 75 SX"
"Cabriolet"
"Cabriolet 1.2"
"Cabriolet 1.6"
"Campagnola"
"Campagnola 1.9"
"Campagnola 1900"
"Campagnola 1.9 D"
"Campagnola 1.9D"
"Campagnola 2000D"
"Campagnola 2.0 D"
"Campagnola 2.4 D"
"Campagnola D"
"Cinquecento"
"Cinquecento 0.9"
"Cinquecento Lucciola"
"Coupe"
"Coupe 1.8"
"Coupe 2.0"
"Coupe 2.0 Turbo"
"Coupe Turbo"
"Croma"
"Croma 1.8"
"Croma 1.9"
"Croma 1.9 16V Multijet"
"Croma 1.9 8V Multijet"
"Croma 1.9 Multijet"
"Croma 2000 Turbo"
"Croma 2.0 TDi"
"Croma 2.2"
"Croma 2.2 16V"
"Croma 2.2i Dynamic"
"Croma 2.2i Dynamic Automatic"
"Croma 2.4 Multijet"
"Croma 2.5 TD"
"Croma IE Super"
"Dino Coupe"
"Dino Spider 2.0"
"Dino Spider 2.4"
"Doblo"
"Doblo 1.2"
"Doblo 1.2 Trofeo"
"Doblo 1.3 16V Multijet Trofeo"
"Doblo 1.3 D"
"Doblo 1.3 M-Jet Trofeo"
"Doblo 1.3 Multijet 16V Trofeo"
"Doblo 1.3 Multijet Trofeo"
