"406 Zagato"
"500 Zagato"
"750 Zagato"
"750 Zagato Sestriere Coupe"
"A6G Zagato"
"Appia Zagato"
"Appia Zagato GTE"
"Bravo Bis"
"DB4 GT Zagato"
"DB 7 Zagato"
"DB7 Zagato"
"Ferrari 3Z"
"Flavia 1800 Zagato"
"Fulvia 1.3 Zagato"
"Fulvia 1600 Zagato"
"Fulvia 1.6 Sport Zagato"
"Fulvia Sport Zagato"
"Fulvia Zagato"
"Hyena"
"Raptor"
"V8 Zagato"
"V8 Zagato Volante"
"Zeta 6"
"Zuma"
