"1000 GT Spider Pininfarina"
"250 GT Coupe Pininfarina"
"250 GT Pininfarina Coupe"
"33 Spider"
"500 Coupe Pininfarina"
"A6G CS Berlinetta Pininfarina"
"Argento Vivo"
"Birdcage"
"Coupe"
"Enjoy"
"Eta Beta"
"Hit"
"Metrocubo"
"OT 1000 Coupe Pininfarina"
"Pajero 2.0 Pininfarina"
"Pajero Pininfarina"
"Ro 80 Pininfarina"
"Rossa"
"Start"
