"Clubman"
"Clubman 1.3"
"Clubman Break"
"Cooper"
"Cooper Cabriolet"
"Cooper Cabriolet S"
"Cooper Clubman"
"Cooper Clubman John Cooper Works"
"Cooper Clubman S"
"Cooper Convertible"
"Cooper Convertible CVT Automatic"
"Cooper Convertible S"
"Cooper CVT Automatic"
"Cooper CVT Automatic Convertible"
"Cooper Hardtop"
"Cooper Hardtop John Cooper Works"
"Cooper Hardtop S"
"Cooper R56"
"Cooper S"
"Cooper S Automatic"
"Cooper S Cabriolet"
"Cooper S Convertible"
"Cooper S Convertible Automatic"
"Cooper S CS4"
"Cooper S John Cooper Works"
"Cooper Steptronic"
"Countryman"
"Ducato 2.3 JTD Minibus"
"Ducato 2.8 JTD Minibus"
"Ducato 2.8JTD Minibus"
"HyperMini"
"John Cooper Works"
"Mini"
"Mini 0.8"
"Mini 0.8 T"
"Mini 1000"
"Mini 1.0 T"
"Mini 1.3"
"Mini 1.3i"
"Mini 1.3 Mayfair"
"Mini ACV 30"
"Minica"
"Minica 0.4"
"Minica 0.4 72 Skipper"
"Minica 0.5"
"Minica 72 Skipper"
"Minica Skipper"
"Mini Clubman"
"Mini Clubman Estate"
"Mini Cooper"
"Mini Cooper 1275S"
"Mini Cooper S"
"Mini Jumbo"
"Mini Marcos"
"Mini Marcos 1000"
"Mini Marcos 1100"
"Mini-Marcos 1300"
"Mini Metro 1.0 HLE"
"Mini Metro 1.3 S"
"Mini Moke"
"Mini Sky"
"Mini T"
"Mini-Zup"
"MK 1"
"MK 1.0 4"
"MK 1.1 4"
"MK 1.3 4"
"MK 1.3 6"
"MK 3"
"MK 4"
"MK 5"
"MK 6"
"MK 7"
"MK II"
"MK III 1300"
"One"
"One 1.4 D"
"One 1.6"
"One Cabriolet"
"One D"
