"A 112"
"A112"
"A 112 1.0"
"A112 1.0"
"A 112 Abarth"
"A 112 Autobianchi"
"Bianchina"
"Bianchina 0.5"
"Bianchina 500"
"Bianchina Cabriolet"
"Bianchina Cabriolet 500"
"Bianchina Giardiniera"
"Bianchina Giardiniera 500"
"Bianchina Panoramica"
"Bianchina Panoramica 0.5"
"Primula"
"Primula Coupe"
"Stellina"
