"Agila"
"Agila 1.2"
"Astra"
"Astra 1.4"
"Astra 1.6"
"Astra 1.6 D"
"Astra 1.7 D"
"Astra 1.7 TD GLS"
"Astra 1.8"
"Astra 1.9 D"
"Astra 2.0"
"Astra 2.0 Cabriolet"
"Astra 2.2 Cabriolet"
"Astra 2.2 Coupe"
"Astra Cabriolet"
"Astra Coupe"
"Astra Van"
"Astra X-treme"
"Belmont"
"Belmont 1.6"
"Belmont 1.6 D"
"Belmont 1.7 D"
"Belmont 1.8"
"Calibra"
"Carlton"
"Carlton 1.8"
"Carlton 2.0"
"Carlton 2.0 Estate"
"Carlton 2.3 D"
"Carlton 2.3 D Estate"
"Carlton 2.4"
"Carlton 2.6"
"Carlton 3.0"
"Carlton 3.6"
"Carlton Estate"
"Cavalier"
"Cavalier 1.6"
"Cavalier 1.6 Coupe"
"Cavalier 1.6 Sporthatch"
"Cavalier 2.0"
"Cavalier 2.0 Coupe"
"Cavalier 2.0 Sporthatch"
"Cavalier Coupe"
"Cavalier Sporthatch"
"Cavalier Sports Hatch"
"Chevette 2.3 Hatchback"
"Chevette Estate"
"Chevette Hatchback"
"Chevette L"
"Corsa"
"Corsa 1.6 VXR"
"Corsa 1.7 D Van"
"Corsa Van"
"Cresta"
"Firenza"
"Firenza 1.3"
"Firenza 1.6"
"Firenza 1.8"
"Firenza 2.0"
"Firenza 2000"
"Firenza 2.3"
"Firenza 2300"
"Frontera"
"Frontera 2.2 D"
"Frontera 3.2"
"Magnum 1800 Estate Car"
"Maxx"
"Meriva"
"Meriva 1.6"
"Meriva 1.7 D"
"Meriva 1.8"
"Monaro"
"Monaro 5.7"
"Monaro VXR"
"Nova 1.2 2"
"Nova 1.3 2"
"Nova 1.4 2"
"Nova 2"
"Omega 2.0 D"
"Omega 2.0 D Break"
"Omega 2.2"
"Omega 2.2 Break"
"Omega 2.2 D"
"Omega 2.2 D Break"
"Omega 2.5"
"Omega 2.5 Break"
"Omega 2.5 D"
"Omega 2.5 D Break"
"Omega 3.0"
"Omega 3.0 Break"
"Omega 3.2"
"Omega 3.2 Break"
"Omega 5.7"
"Omega 5.7 Break"
"Omega Break"
"Royale"
"Royale Coupe"
"Signum"
"Signum 2.0"
"Signum 2.2"
"Signum 2.2 D"
"Signum 3.0 D"
"Signum 3.2"
"Sintra 3.0 V6 CDX"
"Tigra"
"Tigra 1.8"
"Vectra"
"Vectra 1.8"
"Vectra 1.9 D Break"
"Vectra 2.0 Break"
"Vectra 2.0 D"
"Vectra 2.0 D Break"
"Vectra 2.2"
"Vectra 2.2 Break"
"Vectra 2.2 D GTS"
"Vectra 2.2 Diesel"
"Vectra 2.2 GTS"
"Vectra 3.0 Break"
"Vectra 3.2 GTS"
"Vectra Break"
"Vectra Break 1.8"
"Vectra GTS"
"Vectra GTS 2.0 D"
"Velox"
"Velox 2.7 PA"
"Velox 3.3"
"Velox PA"
"Ventora"
"Victor"
"Victor 2300"
"Victor 2800"
"Victor 3300"
"Victor FA"
"Victor FB"
"Victor FC"
"Viscount"
"Viscount 3300"
"Viva Brabham"
"Viva GT"
"VX 220"
"VX220"
"VX 220 R"
"VX 4"
"VX4"
"VX Lightning"
"Wyvern"
"Wyvern 1500"
"Zafira"
"Zafira 1.8"
"Zafira 2.0"
"Zafira 2.0 D"
"Zafira 2.2"
