"Ambassador SST"
"Ambassador SST 5.0"
"Ambassador SST 5.8"
"Ambassador SST 6.5"
"Ambassador SST Station Wagon 5.0"
"Ambassador SST Station Wagon 5.8"
"Ambassador SST Station Wagon 6.5"
"AMX"
"AMX III"
"Gremlin 3.8"
"Gremlin 4.2"
"Gremlin 4.9"
"Gremlin XP"
"Hornet"
"Javelin"
"Javelin AMX 4.9"
"Javelin AMX 5.9"
"Javelin AMX 6.5"
"Javelin SST 4.2"
"Matador 3.8"
"Matador 4.2"
"Matador 5.0"
"Matador 6.5"
"Matador Barcelona II"
"Matador Station Wagon 5.0"
"Matador Station Wagon 6.5"
"Matador X Coupe"
"Pacer"
"Pacer 3.8"
"Pacer 4.2"
"Pacer 4.2 Wagon DL"
