"124 Coupe"
"150S"
151
"228 Coupe"
"250 F"
"250F"
"250 F T2"
"250 S"
"250S"
"300 S"
"300S"
"3200 GT"
"3500 GT"
"3500 GT Mark I"
"3500 GT Mk II"
"3500 Spider"
"350 S"
"350S"
420
"420 M"
"420M"
430
"450 S"
"450S"
"4 CL"
"4CL"
"4 CLT"
"4CLT"
"5000 Gran Turismo"
"5000 GT"
"6 C Sport"
"8 CL"
"8CL"
"8CLT"
"A 6"
"A6"
"A6G"
"A6G 2000 Berlinetta"
"A6G CM"
"A6GCM"
"A6G CS"
"A6GCS"
"A6GCS 2.0 MK I"
"A6G CS Berlinetta Pininfarina"
"A6G CS Coupe"
"A6G CS MK I"
"A6G Zagato"
"Auge"
"Barchetta Straale"
"Bi Turbo 2.5 MK I"
"Bi-turbo MK I"
"Bi Turbo MK I"
"Boomerang"
"Bora"
"Bora 4.9"
"Coupe Cambiocorsa"
"Coupe GranSport"
"Coupe GranTourismo"
"Coupe GT"
"Ghibli"
"Ghibli 2.0"
"Ghibli 2.8"
"Ghibli 4.9"
"Ghibli Spyder"
"Gran Sport Coupe"
"GranSport Coupe"
"Gran Sport MC Victory"
"Gran Sport Spyder"
"GranSport Spyder"
"GranSport V8"
"Gran Turismo 3500"
"GranTurismo S"
"GT"
"GT 3500"
"GT Coupe"
"Indy"
"Indy 4.7"
"Indy 4.9"
"Khamsin"
"Kubang"
"Kyalami"
"MC12"
"MC 12 Sport"
"MC12 Sport"
"Merak"
"Merak SS"
"Mexico"
"Mistral Spyder"
"Mistral Spyder 3.7"
"Mistral Spyder 4.0"
"Quatroporte"
"Quatroporte 4.7"
"Quatroporte 4.9"
"Quattroporte"
"Quattroporte Automatic"
"Quattroporte Executive GT"
"Quattroporte Executive GT Automatic"
"Quattroporte GT S"
"Quattroporte S"
"Quattroporte Sedan"
"Quattroporte Sport GT"
"Quattroporte Sport GT Automatic"
"Quattroporte Sport GT Duoselect"
"Quattroporte Sport GT S"
"Royale"
"Shamal"
"Simun"
"Spider 3500"
"Spyder"
"Spyder Cambiocorsa"
"Spyder GranSport"
"Spyder GT"
"Tipo 60"
"Tipo 61"
"Tipo 64"
"Tipo 65"
"V8 GranSport"
