"037 Rallye"
2000
"2000 Coupe"
"A 112"
"A112"
"A 112 1.0"
"A 112 1.1"
"Appia"
"Appia 2e"
"Appia 3e"
"Appia C10"
"Appia Gran Turismo"
"Appia Gran Turismo Esporazione"
"Appia Zagato"
"Appia Zagato GTE"
"Aprilia"
"Ardea 3"
"Aurelia 2.0 Sedan B10"
"Aurelia B10"
"Aurelia B10 Sedan"
"Aurelia B20 Gran Turismo"
"Aurelia B20 GT"
"Aurelia B21"
"Aurelia B24 Spider"
"Aurelia B50"
"Aurelia Gran Turismo"
"Aurelia GT 2500 Convertible America"
"Aurelia GT Spider"
"Aurelia Sedan B10"
"Aurelia Spider"
"Aurelia Spider B24"
"Aurelia Spider GT"
"Beta 1300"
"Beta 1.4 Coupe"
"Beta 1600 HPE"
"Beta 1.8 Coupe"
"Beta 2.0 Coupe"
"Beta 2.0 HPE"
"Beta 2.0 Spyder"
"Beta Berlina 1800"
"Beta Berlina 2000"
"Beta Coupe"
"Beta Coupe 1300"
"Beta Coupe 1600"
"Beta Coupe 2000"
"Beta Coupe VX"
"Beta HPE"
"Beta HPE 2000"
"Beta HPE 2000ie"
"Beta HPE VX"
"Beta Monte Carlo"
"Beta Monte Carlo Series 1"
"Beta Monte Carlo Series 2"
"Beta Spyder"
"D 50"
"Dedra"
"Dedra 1.6i"
"Dedra 1.7"
"Dedra 1.8i"
"Dedra 1.9 D"
"Dedra 1.9 Turbo D"
"Dedra 2000 Turbo"
"Dedra 2.0ie Automatic"
"Delta"
"Delta 1300 GT"
"Delta 1.5"
"Delta 1500 GT"
"Delta 1.6"
"Delta 1600 GT"
"Delta 1600 HF Turbo"
"Delta 1.6ie"
"Delta 1.7"
"Delta 1.7 HPE"
"Delta 1.9 D"
"Delta 1.9 D HPE"
"Delta 2.0"
"Delta 2.0 Multijet"
"Delta HF 4WD Integrale"
"Delta HF 4WD Turbo"
"Delta HF Integrale"
"Delta HF Turbo"
"Delta HPE"
"Delta HPE 1.6"
"Delta HPE 2.0 HF Turbo"
"Delta Integrale"
"Delta Integrale Finale"
"Delta S4"
"Delta Turbodiesel"
"Dialogos"
"Dialogos Estate"
"ECV 1"
"ECV 2"
"Flaminia"
"Flaminia 2.5 GT"
"Flaminia 2.8 Coupe"
"Flaminia 2.8 Gran Turismo"
"Flaminia 2.8 GT"
"Flaminia 3C 2800"
"Flaminia Coupe"
"Flaminia Gran Turismo"
"Flaminia GT"
"Flaminia GT Touring"
"Flavia"
"Flavia 1800"
"Flavia 1800 Cabriolet"
"Flavia 1800 Convertible"
"Flavia 1800 Injection"
"Flavia 1800 Zagato"
"Flavia 2000 Injection"
"Flavia Cabriolet"
"Flavia Convertible"
"Fulvia"
"Fulvia 1200 Coupe"
"Fulvia 1.3 Coupe"
"Fulvia 1.3S Coupe"
"Fulvia 1.3 Zagato"
"Fulvia 1600 Zagato"
"Fulvia 1.6 Coupe"
"Fulvia 1.6 Sport Zagato"
"Fulvia Berlina GT"
"Fulvia Coupe"
"Fulvia Coupe 1.3 Rallye"
"Fulvia Coupe S3"
"Fulvia Sport Zagato"
"Fulvia Zagato"
"Gamma"
"Gamma 2.5"
"Gamma Berlina IE"
"Gamma Coupe"
"Gamma Coupe 2000"
"Hit"
"Hyena"
"Ionos"
"K 2.0"
"K 2.0 Turbo"
"K 3.0 Coupe"
"K 3.0 V6 Automatic"
"Kappa 2.0"
"Kappa 2.0 Station Wagon"
"Kappa 2.0 Turbo"
"Kappa 2.0 Turbodiesel"
"Kappa 2.4"
"Kappa 2.4 Coupe"
"Kappa 2.4 D Station Wagon"
"Kappa 2.4 Station Wagon"
"Kappa 3.0"
"Kappa 3.0 Coupe"
"Kappa 3.0 Station Wagon"
"Kappa Coupe"
"Kappa Station Wagon"
"Lancia 037"
"Lybra"
"Lybra 1.6"
"Lybra 1.6 Break"
"Lybra 1.7"
"Lybra 1.7 Break"
"Lybra 1.8"
"Lybra 1.8 Station Wagon"
"Lybra 1.9 D"
"Lybra 1.9 D Break"
"Lybra 1.9 JTD"
"Lybra 1.9 JTD Station Wagon"
"Lybra 2.0 LX"
"Lybra 2.0 LX Station Wagon"
"Lybra 2.4 D"
"Lybra 2.4 D Break"
"Lybra 2.4 JTD"
"Lybra 2.4 JTD LX"
"Lybra 2.4 JTD LX Station Wagon"
"Lybra Break"
"Lybra Station Wagon 1.8"
"Lybra Station Wagon 1.9 JTD"
"Lybra Station Wagon 2.0"
"Lybra Station Wagon 2.4 JTD LX"
"Megagamma"
"Musa 1.3 Multijet"
"Musa 1.3 Multijet 16V Oro"
"Musa 1.3 Multijet Oro"
"Musa 1.4"
"Musa 1.4 16V Oro"
"Musa 1.9 D"
"Musa 1.9 Multijet"
"Musa 1.9 Multijet Oro"
"Nea"
"Phedra"
"Phedra 2.0"
"Phedra 2.0 16V"
"Phedra 2.0 D"
"Phedra 2.0 JTD"
"Phedra 2.0 Multijet"
"Phedra 2.2 16V JTD"
"Phedra 2.2 D"
"Phedra 2.2 JTD"
"Phedra 2.9"
"Phedra 3.0 V6"
"Phedra 3.0 V6 24V Executive"
"Phedra 3.0 V6 Executive"
"Prisma"
"Prisma 1300"
"Prisma 1500 GT"
"Prisma 1.6"
"Prisma 1.9 D"
"Prisma 2.0"
"Prisma 2000"
"Prisma Diesel"
"Scorpion"
"Stratos"
"Stratos HF"
"Thema"
"Thema 2.0"
"Thema 2.0 IE"
"Thema 2.0ie Estate"
"Thema 2.0ie Turbo"
"Thema 2.0 IE Turbo"
"Thema 2.0 Station Wagon"
"Thema 2.4 D"
"Thema 2.4 D Station Wagon"
"Thema 2.5 D"
"Thema 2.5 D Station Wagon"
"Thema 2.8"
"Thema 2.9"
"Thema Station Wagon"
"Thema Turbodiesel"
"Thema Turbo DS"
"Thema Turbo DS Estate"
"Thema V6"
"Thesis"
"Thesis 2.0"
"Thesis 2.0 20V Turbo Soft Emblema"
"Thesis 2.0 Turbo Soft"
"Thesis 2.0 Turbo Soft Executive"
"Thesis 2.4"
"Thesis 2.4 20V Emblema"
"Thesis 2.4 D"
"Thesis 2.4 Executive"
"Thesis 2.4 JTD"
"Thesis 2.4 JTD Comfortronic"
"Thesis 2.4 JTD Executive"
"Thesis 2.4 Multijet"
"Thesis 2.4 Multijet Emblema"
"Thesis 2.4 Multijet Emplema"
"Thesis 2.4 Sport"
"Thesis 3.0 V6 CAE"
"Thesis 3.2 V6 Comfortronic"
"Thesis 3.2 V6 Comfotronic Emblema"
"Thesis 3.2 V6 Executive"
"Trevi"
"Trevi 2.0"
"Trevi VX"
"Y10 1.0"
"Y10 1.1"
"Y10 Selectronic"
"Y10 Turbo"
"Y 1.2"
"Y 1.2 16V Argento"
"Y 1.2 16V Platino"
"Y 1.2 8V"
"Y 1.2 8V Argento"
"Y 1.2 Argento"
"Y 1.2 Platino"
"Y 1.3 16V Multijet"
"Y 1.3 16V Multijet Argento"
"Y 1.3 16V Multijet Platino"
"Y 1.3 Multijet"
"Y 1.3 Multijet Argento"
"Y 1.3 Multijet Platino"
"Y 1.4"
"Y 1.4 16V Argento"
"Y 1.4 16V Platino"
"Y 1.4 Argento"
"Y 1.4 Platino"
"Ypsilon"
"Ypsilon 1.2"
"Ypsilon 1.3"
"Ypsilon 1.3 Multijet"
"Ypsilon 1.4"
"Ypsilon Momo"
"Zeta"
"Zeta 2.1 D"
