"2000 GTi"
"2000 GTI"
"375 C"
"375 S"
"400 SS"
"Berlinetta"
"Hai 375 SS"
"Hai 450 GTS"
"Hai 450 SS"
"Hai 650 F1"
"High Speed 375"
"High Speed 375 Limousine"
"Military 250 Z Zivil"
"Safari"
"Safari 5.7"
"Sahara"
"Sierra"
"Sierra 5.9"
"Sierra Convertible"
"Tiara"
"Tiara 5.0"
