"Apollo"
"Astra"
"Astra 1.6"
"Astra 2.0 Hatch"
"Astra 2.2 Hatch"
"Astra Cabriolet"
"Astra Hatch"
"Astra Hatch 1.8"
"Astra Sedan"
"Astra Sedan 1.8"
"Barina"
"Barina 1.0"
"Barina 1.3"
"Barina 1.8"
"Berlina II"
"Berlina II 3.8"
"Berlina II 5.7"
"Berlina II II Wagon"
"Berlina II II Wagon 3.8"
"Berlina II II Wagon 5.7"
"Calais VL"
"Caprice"
"Caprice SC"
"Caprice WHII"
"Club Sport"
"Combo"
"Commodore SS Victoria"
"Cruze"
"Drover"
"EH 2.9"
"EH Premier"
"EJ"
"EK"
"FB Special"
"FC"
"FC Sedan"
"FE"
"FE Sedan"
"FJ"
"Frontera"
"FX"
"GTS"
"GTS-R"
"HB"
"HD 2.9"
"HJ 3.3 Belmont"
"HJ 4.1 Belmont"
"HJ 5.0 Belmont"
"HJ Belmont"
"HJ Statesman"
"HK 3.0 Monaro"
"HK 5.0 Monaro"
"HK 5.4 Monaro"
"HK Belmont"
"HK Belmont 2.1"
"HK Belmont 3.0"
"HK Belmont 5.0"
"HK Brougham"
"HK Monaro"
"HQ 3.3 Belmont"
"HQ 3.3 Monaro"
"HQ 4.1 Belmont"
"HQ 4.1 Monaro"
"HQ 5.0 Belmont"
"HQ 5.0 Monaro"
"HQ 5.7 Monaro"
"HQ Belmont"
"HQ Monaro"
"HR 3.0"
"HRT VT V8"
"HSV GTS Coupe"
"HSV GTS VX"
"HT 3.0 Belmont"
"HT 3.0 Monaro"
"HT 4.1 Monaro"
"HT 4.1 Statesman"
"HT 5.0 Belmont"
"HT 5.0 Statesman"
"HT 5.7 Monaro"
"HT 5.7 Statesman"
"HT Belmont"
"HT Belmont 2.6"
"HT Monaro"
"HT Monaro 5.0"
"HT Statesman"
"HX Statesman"
"HZ 4.1 Kingswood"
"HZ 5.0 GTS"
"HZ 5.0 Kingswood"
"HZ GTS"
"HZ Kingswood"
"Jackaroo"
"Jackaroo 3.0 D"
"JB Camira"
"JD 1.8 Camira"
"JD Camira"
"JD Camira 1.8"
"JE Camira"
"LC 1.6 Torana 4"
"LC 2.8 Torana 6"
"LC 3.0 Torana 6"
"LC Torana 4"
"LC Torana 6"
"LH 2.8 Torana"
"LH 3.3 Torana"
"LH 4.1 Torana"
"LH 5.0 Torana"
"LH Torana"
"LJ 1.3 Torana 4"
"LJ 1.6 Torana 4"
"LJ 1.8 Torana 4"
"LJ Torana 4"
"LX 1.9 Sunbird"
"LX 2.8 Sunbird"
"LX 3.3 Sunbird"
"LX 4.1 Sunbird"
"LX 5.0 Sunbird"
"LX Sunbird"
"Maloo"
"Monaro"
"Nova"
"Nova 1.6"
"Nova 1.8"
"Nova 1.8 Sedan"
"Nova Sedan"
"RB Gemini"
"Rodeo"
"Rodeo 3.5"
"Senator Wagon"
"Statesman"
"Statesman 3.8"
"Statesman 5.7"
"TD Gemini"
"TE Gemini"
"TE Gemini Diesel"
"TF Gemini"
"TF Gemini Diesel"
"TG Gemini"
"TG Gemini Diesel"
"TX Gemini"
"Ute"
"UTE"
"UTE 3.8"
"UTE 5.7"
"Ute SV6"
"VC 2.8 Commodore"
"VC 3.3 Commodore"
"VC 4.1 Commodore"
"VC 5.0 Commodore"
"VC Commodore"
"Vectra"
"Vectra 2.6 Sedan"
"Vectra 3.2"
"Vectra Hatchback"
"Vectra Sedan"
"VH 2.8 Commodore"
"VH 3.3 Commodore"
"VH 4.1 Commodore"
"VH Commodore"
"VK 3.3 Commodore"
"VK 5.0 Commodore"
"VK Commodore"
"VL 3.0 Commodore"
"VL 5.0 Commodore"
"VL Commodore"
"VN 5.0 Commodore"
"VN Commodore"
"VN Commodore SS"
"VP 5.0 Commodore"
"VP Commodore"
"VQ 5.0 Statesman"
"VQ Statesman"
"VR 5.0 Commodore"
"VR 5.0 Statesman"
"VR Commodore"
"VR Statesman"
"VS 3.8 Statesman"
"VS 5.0 Statesman"
"VS Statesman"
"VT 3.8 Commodore"
"VT 5.0 Commodore"
"VT Commodore"
"WB Statesman"
"XU 6"
"Zafira"
