"F1"
"F1 GTR"
"F1 LM"
"M10"
"M 14 D"
"M19"
"M1C"
"M21"
"M21 1.9"
"M 23"
"M8E"
"MP4"
"SLR McLaren"
"SLR McLaren 722 Edition"
"SLR McLaren 722S"
"SLR McLaren Roadster"
