"Armada"
"Bolero"
"Bolero 2.5 D"
"Bolero 2.5 D Camper"
"Bolero 2.5 TD Double Cab"
"Bolero Camper"
"Bolero NEF 2.5TD Double Cab 4x4"
"Bolero NEF 2.5TD Loader Single Cab"
"Bolero Single Cab 4x4"
"CL"
"CL 2.5 D"
"Commander"
"Scorpio"
"Scorpio 2.0"
"Scorpio 2.0 GLX"
"Scorpio 2.6 D"
"Scorpio 2.6 GLX Turbo"
"Scorpio 2.6 GLX Turbo 4x4"
"Scorpio 2.6TD GLX"
"Scorpio 2.6TD GLX 4x4"
