"Arcadia"
"Brougham"
"Chairman"
"Chairman 2.8"
"Chairman 3.2"
"Espero 2.0 CD"
"Evanda 2.0"
"Evanda 2.0 Automatic"
"Evanda 2.0 CDX"
"Joyster"
"Kalos"
"Kalos 1.2 SE"
"Kalos 1.3"
"Kalos 1.4"
"Kalos 1.4 16V SX"
"Kalos 1.4 Automatic"
"Kalos 1.4 SE"
"Kalos 1.4 SX"
"Kalos 1.4 SX Sedan"
"Kalos 1.6"
"Korando"
"Lacetti"
"Lacetti 1.4 SE"
"Lacetti 1.6 SX"
"Lacetti 1.8 CDX"
"Lanos"
"Lanos 1.4i S"
"Lanos 1.4 S"
"Lanos 1.4 SE"
"Lanos 1.5"
"Lanos 1.6 GTR"
"Leganza"
"Leganza 2.0"
"Leganza 2.2"
"Maepsy-Na"
"Magnus"
"Magnus Evanda"
"Magnus L6 2.0"
"Magnus L6 2.5"
"Matiz"
"Matiz 0.8 S"
"Matiz 1.0"
"Matiz 1.0 SE"
"Musiro"
"Musson"
"Nexia 1.5 GLX"
"No 1"
"Nubira"
"Nubira 1.6"
"Nubira 1.6 Combi"
"Nubira 1.6 Kombi"
"Nubira 1.6 SE"
"Nubira 1.6 SX"
"Nubira 1.8 Automatic"
"Nubira 1.8 CDX"
"Nubira 1.8 Station Wagon"
"Nubira 2.0"
"Nubira 2.0 Estate"
"Nubira 2.0 Hatchback"
"Nubira 2.0 Station Wagon"
"nubira cdx"
"Nubira Station Wagon"
"Prince"
"Rexton"
"Rezzo"
"Rezzo 1.6 SX"
"Rezzo 2.0"
"Rezzo 2.0 CDX"
"Tacuma 1.8 SE"
"Tacuma 2.0 CDX"
"Tacuma 2.0 CDX Automatic"
"Vada"
