"4-Litre"
541
"541 4.0"
"541R"
"CV-8"
"CV8"
"CV-8 FF"
"CV-8 Mk II"
"FF"
"Healey"
"Interceptor"
"Interceptor 7.2"
"Interceptor Coupe"
"Interceptor FF"
"Interceptor FF Mk III"
"Interceptor Mk III"
"Interceptor Mk III S4"
"Interceptor S4"
"Jensen-Healey"
"SP Automatic"
"Straight 8"
"SV 8"
"SV-8"
"SV8"
