"1.5"
"2.6"
4
"4/68"
"Elf"
"Kestrel"
"Kestrel 1300"
"MR II Roadster"
"One Point Five"
"One-Point-Five"
"Pathfinder"
"Pathfinder 2500"
"RM A"
"Two Point Six"
"Two-Point-Six"
