"350 GT"
400
"400 GT"
"Bravo"
"Cala"
"Concept S"
"Countach"
"Countach 5000 S"
"Countach LP 400"
"Countach LP 400 S"
"Countach LP 5000 S QV"
"Countach LP 500S"
"Diablo"
"Diablo 6.0"
"Diablo Canto L147"
"Diablo GT"
"Diablo GT-1 Affolter Evolution"
"Diablo GTR"
"Diablo Roadster"
"Diablo SE"
"Diablo SE 30 Jota"
"Diablo SV"
"Diablo VT"
"Diablo VT Roadster"
"Espada GTE S3 400"
"Espada S I"
"Flying star"
"Gallardo"
"Gallardo Coupe"
"Gallardo LP560"
"Gallardo LP 560-4"
"Gallardo LP 560-4 Coupe"
"Gallardo LP 560-4 Spyder"
"Gallardo Spyder"
"Gallardo Superleggera"
"Gallordo Spyder"
"Islero"
"Islero 400 GTS"
"Jalpa"
"Jalpa 350S"
"Jarama"
"Jarama 400 GT"
"Jarama 400 GTS"
"LM"
"LM 002"
"LM 004"
"LM 5.2"
"LM 5.7"
"LM 7.3"
"Marco Polo"
"Marzal"
"Miura 140 S"
"Miura 140S"
"Miura 140 S 150 SV"
"Miura P400"
"Miura P400 SV"
"Murcielago"
"Murcielago Coupe"
"Murcielago LP 640"
"Murcielago LP640"
"Murcielago LP 640 Coupe"
"Murcielago LP 640 Roadster"
"Murcielago LP640 Roadster"
"Murcielago Roadster"
"Nomad Diablo JGT 1"
"P140"
"Portofino"
"Project P140"
"Urraco"
"Urraco 2500"
"Urraco 3000"
"Urraco P 200"
"Urraco P200"
"Urraco P 250"
"Urraco P300"
"Urraco Silhouette"
