"750 GT"
90
900
9000
"9000 2.3"
"9000 2.3i"
"9000 Carlsson Turbo"
"9000 CD 2.3 LPT"
"9000 CD 2.3 Turbo 16S"
"9000 CDE Turbo Automatic"
"9000 CD Turbo"
"9000 CSE Turbo"
"9000 CSi 2.0"
"9000 CSi 2.0 Turbo"
"9000 CSi 2.3"
"9000 CSi 2.3 Turbo"
"9000 CS LPT"
"9000i"
"9000i Aero"
"9000i CD 2.3"
"9000 V6 Griffin"
"900 2.0"
"900 2.3"
"900 2.5"
"900 Cabriolet"
"900 Cabriolet 2.0"
"900 GL"
"900 i"
"900i"
"900i 16 Cabriolet"
"900 SE"
"900 Sedan"
"900 Sedan 2.0"
"900 T16 Convertible"
"900 Turbo"
"900 Turbo Carlsson"
"900 Turbo SE Convertible"
"900 Turbo Tii"
"900 V6 Cabriolet"
92
"92 B"
"92B"
"9-2 X Aero"
"9-2 X Linear"
93
"9-3"
"9-3 1.8i Linear"
"9-3 1.8t BioPower Cabriolet"
"9-3 1.8t Cabriolet Linear"
"9-3 1.8T Cabriolet Linear"
"9-3 1.8t Linear"
"9-3 1.8 T Linear"
"9-3 1.8T Linear"
"9-3 1.8 T Linear Cabriolet"
"9-3 1.9 D Sport Hatch"
"9-3 1.9 TiD Sport Limousine"
"9-3 2.0"
"9-3 2.0 Arc LPT"
"9-3 2.0 Arc LPT Automatic"
"9-3 2.0 Arc Sport"
"9-3 2.0 Arc T Automatic"
"9-3 2.0 Cabrio"
"9-3 2.0 Cabriolet"
"9-3 2.0 Convertible"
"9-3 2.0 Convertible 2.0 SE Automatic"
"9-3 2.0 Convertible Automatic"
"9-3 2.0 Convertible SE"
"9-3 2.0 Coupe"
"9-3 2.0 Coupe Automatic"
"9-3 2.0i"
"9-3 2.0 Linear"
"9-3 2.0 Linear LPT"
"9-3 2.0 Linear LPT Automatic"
"9-3 2.0 SportCombi 2.8 V6"
"9-3 2.0 T Aero"
"9-3 2.0T Aero"
"9-3 2.0 T Aero Cabriolet"
"9-3 2.0T Aero Cabriolet"
"9-3 2.0T Arc"
"9-3 2.0 T Arc Sport"
"9-3 2.0 T Arc Sport Automatic"
"9-3 2.0T Cabriolet Aero"
"9-3 2.0T Cabriolet Linear"
"9-3 2.0T Convertible"
"9-3 2.0T Convertible Linear"
"9-3 2.0T Convertible Linear Automatic"
"9-3 2.0T Linear"
"9-3 2.0 T Linear Cabriolet"
"9-3 2.0 TS Aero"
"9-3 2.0 TS Aero Automatic"
"9-3 2.0 TS Convertible Aero"
"9-3 2.0T Sport"
"9-3 2.0T SportCombi"
"9-3 2.0T SportCombi Aero"
"9-3 2.0T Sport Saloon"
"9-3 2.0T Vector Automatic"
"9-3 2.0 T Vector Sport"
"9-3 2.0 T Vector Sport Automatic"
"9-3 2.0 Vector"
"9-3 2.0 Vector Sport"
"9-3 2.0 Vector Sport Automatic"
"9-3 2.2 D"
"9-3 2.2 TiD"
"9-3 2.2 TiD Linear"
"93 2.2 TiD Linear"
"9-3 2.3 Cabriolet"
"9-3 2.8 Cabriolet Turbo V6 Performance"
"9-3 2.8 Convertible Aero"
"9-3 2.8 SportAero"
"9-3 2.8 Sport Sedan Aero"
"9-3 2.8 V6 Sport Combi"
"9-3 2.8 V6 SportCombi"
"9-3 2.8 V6 SportCombi Turbo"
"9-3 2.8 V6 Sport Limousine Turbo"
"9-3 2.8 V6 SportWagon"
"9-3 2.9 T Aero Cabriolet"
"9-3 Aero"
"9-3 Aero Convertible"
"9-3 Arc Convertible"
"93 B"
"9-3 Cabriolet"
"9-3 Cabriolet 2.8 Turbo V6 Performance"
"9-3 Convertible 2.0T Comfort"
"9-3 Convertible 2.0T Sport"
"9-3 Convertible 2.0T Touring"
"9-3 Convertible 2.8 Aero"
"9-3 Convertible Aero"
"93 F"
"9-3 Linear Convertible"
"9-3 Special Edition"
"9-3 SportCombi 2.0T Comfort"
"9-3 SportCombi 2.0T Sport"
"9-3 SportCombi 2.0T Touring"
"9-3 SportCombi 2.8 Aero"
"9-3 SportCombi 2.8T XWD"
"9-3 Sport Convertible Linear T"
"9-3 Sport Convertible Linear T Automatic"
"9-3 Sport Hatch"
"9-3 Sport Limousine 2.8"
"9-3 Sport Sedan 2.0T"
"9-3 Sport Sedan 2.0T Comfort"
"9-3 Sport Sedan 2.0T Sport"
"9-3 Sport Sedan 2.0T Touring"
"9-3 Sport Sedan 2.8T Aero"
"9-3 Sport Sedan 2.8T XWD"
"9-3 Sport Sedan Aero"
"9-3 Sport Sedan Aero TS"
"9-3 Sport Sedan Arc"
"9-3 Sport Sedan Arc LPT"
"9-3 Sport Sedan Arc LPT Automatic"
"9-3 Sport Sedan Arc T"
"9-3 Sport Sedan Arc T Automatic"
"9-3 Sport Sedan Linear"
"9-3 Sport Sedan Linear LPT"
"9-3 Sport Sedan Linear LPT Automatic"
"9-3 Sport Sedan Vector T"
"9-3 Sport Sedan Vector T Automatic"
"9-3 Viggen"
"9-3 X"
94
95
"9-5"
"9-5 1.9 TiD Linear"
"9-5 2.0 T"
"9-5 2.0 T Automatic"
"9-5 2.0 T Ecopower"
"9-5 2.0 T Ecopower Automatic"
"9-5 2.0t Linear"
"9-5 2.0 T Linear"
"9-5 2.0T Linear"
"9-5 2.0 T Linear Sport Combi"
"9-5 2.0 T Wagon"
"9-5 2.0 T Wagon Automatic"
"9-5 2.2 D Estate"
"9-5 2.2 Diesel"
"9-5 2.2 TiD Linear"
"9-5 2.2 TiD Linear Sport Combi"
"9-5 2.3"
"9-5 2.3 Aero"
"9-5 2.3 Aero SportCombi"
"9-5 2.3 Arc"
"9-5 2.3 Estate"
"9-5 2.3 SportCombi Aero"
"9-5 2.3T"
"9-5 2.3 T Aero"
"9-5 2.3 T Aero Sport Combi"
"9-5 2.3T Automatic"
"9-5 2.3 T Ecopower Automatic"
"9-5 2.3 T Linear"
"9-5 2.3T Linear"
"9-5 2.3 T Linear Combi"
"9-5 2.3 T Linear Sport Combi"
"9-5 2.3 T Sedan Arc"
"9-5 2.3 T SportWagon Arc"
"9-5 2.3 T SportWagon Linear"
"9-5 2.3 Vector"
"9-5 2.3 Vector Automatic"
"9-5 3.0"
"9-5 3.0 D"
"9-5 3.0 Estate"
"9-5 3.0 TiD"
"9-5 3.0 TiD Linear"
"9-5 3.0 TiD Linear Sport Combi"
"9-5 3.0 T V6 Ecopower"
"9-5 3.0 Vector Automatic"
"9-5 Aero 2.3TS Automatic"
"9-5 Estate"
"9-5 Kombi 2.0 T Linear"
"9-5 Kombi 2.2 TiD Linear"
"9-5 Kombi 2.3 T Linear"
"9-5 Kombi 2.3T Linear"
"9-5 Kombi 3.0 TiD Linear"
"9-5 Limousine 2.3 Turbo Performance"
"9-5 Saloon"
"9-5 SE"
"9-5 Sedan 2.3 Aero"
"9-5 Sedan 2.3 Griffin"
"9-5 Sedan 2.3 T"
"9-5 Sedan 2.3T"
"9-5 Sedan Aero"
"9-5 SportCombi 2.3 Aero"
"9-5 SportCombi 2.3 Griffin"
"9-5 SportCombi 2.3 T"
"9-5 SportCombi 2.3T"
"9-5 SportCombi 2.3 Turbo"
"9-5 SportEstate"
"9-5 SportWagon Aero"
"95 Station Wagon"
"96 1.5 V4"
"96 L"
"9-7 X"
"9-7 X 4.2i"
"9-7X 4.2i"
"9-7 X 5.3i"
"9-7X 5.3i"
"9-7X Aero"
99
"99 1.7"
"99 1.9"
"99 2.0"
"99 Combi Coupe"
"99 Combi Coupe 2.0"
"9-X"
"9X"
"MC 850"
"Sonett"
"Sonett 1.5"
"Sonett 1500"
"Sonett II 1.5"
"Sonett III"
