100
"100 S"
"100 Six"
"10 HP"
"1300 GT"
"1300 Saloon"
16
1800
2200
3000
"3000 Mk II"
"3000 Mk III"
"3 Litre"
"3-Litre"
7
"8 HP"
"A 110"
"A110"
"A 110 4000"
"A 110 Mk II"
"A 125"
"A 125 Limousine"
"A 135 Princess"
"A135 Princess"
"A 135 Princess Limousine"
"A 135 Princess Mark IV"
"A 1.5 D 60 Cambridge"
"A 30"
"A30"
"A 35"
"A 35 Countryman"
"A 40"
"A40"
"A 4.0 110"
"A 40 1500"
"A 40 Cambridge"
"A 40 Dorset"
"A40 Dorset"
"A 40 Farina"
"A 40 Farina Mark I"
"A 40 Farina Mk1"
"A 40 Mk II"
"A40 Mk II"
"A 40 Somerset"
"A40 Somerset Coupe"
"A 40 Sport Convertible"
"A40 Sport Convertible"
"A40 Sports"
"A 55 Cambridge"
"A55 Cambridge"
"A 55 Cambridge Mk II"
"A55 Cambridge Mk II"
"A 60 Cambridge"
"A60 Cambridge"
"A 60 Diesel"
"A 70"
"A70"
"A70 Hereford"
"A 70 Hereford Saloon"
"A 90"
"A90"
"A90 Atlantic"
"A 90 Sports Saloon"
"A90 Sports Saloon"
"A 90 Westminster"
"A 95"
"A 99"
"A99"
"Allegro"
"Allegro 1.1"
"Allegro 1100"
"Allegro 1.3"
"Allegro 1300"
"Allegro 1.3 Estate"
"Allegro 1.5"
"Allegro 1.7"
"Allegro 1750"
"Allegro Estate"
"Ambassador"
"Ambassador 2.0"
"Maestro"
"Maestro 1.3 City"
"Maestro 1.6"
"Maestro 1.6 Automatic"
"Maestro 2.0"
"Marina"
"Marina 1.7"
"Marina 1.8"
"Maxi"
"Maxi 1500 Cablechange"
"Maxi 1.7"
"Maxi 1750"
"Maxi HL"
"Maxi HLS"
"Maxi L"
"Mini Clubman"
"Mini Clubman Estate"
"Mini Cooper"
"Mini Cooper 1275S"
"Mini Cooper S"
"Mini Metro 1.0 HLE"
"Mini Metro 1.3 S"
"Mini Sky"
"Montego 1.3"
"Montego 1.6 L"
"Montego 2.0 Break"
"Montego 2.0 D Break"
"Montego 2.0 EFI"
"Montego 2.0 Turbo DSL"
"Montego Break"
"Princess"
"Princess 2.0"
"Princess 2.2"
"Princess Limousine"
"Sport Convertible"
"Sports C"
"Sports Convertible"
"Sprite 1000"
"Sprite Mk III"
"Sprite Mk IV"
"Sprite Mk V"
"Sprite MK V"
"Tickford"
"Tickford Saloon"
