"300 Satria"
"300 Satria 3D"
"300 Satria 3D 1.5"
"300 Satria 3D 1.8"
"400 Wira"
"400 Wira 1.5"
"400 Wira 1.8"
"400 Wira 2.0 Diesel"
"400 Wira 4D"
"400 Wira 5D"
"400 Wira 5D 1.5"
"400 Wira 5D 1.6"
"400 Wira 5D 2.0 D"
"Arena"
"Arena 1.5 GL"
"Arena 1.5i"
"Arena 1.5i GLX"
"Gen-2"
"Gen 2 1.6 GL"
"Gen 2 1.6 GL Automatic"
"Gen 2 1.6 GLX Automatic"
"Impian"
"Juara"
"Perdana"
"Perdana 2.0"
"Persona 1.5 Saloon"
"Persona 1.8 Saloon"
"Persona Saloon"
"Saloon"
"Saloon 1.3"
"Saloon 1.5"
"Satria GTI"
"Satria Neo 1.6"
"Satria Neo 1.6 H-line"
"Savvy 1.2"
"Savvy 1.2 Automatic"
"Savvy 1.2 MT"
"Savvy 1.2 Sport"
"Savvy 1.2 Sport Automatic"
"Tiara"
