"Cherokee"
"Cherokee 2.5"
"Cherokee 2.5 CRD LTD"
"Cherokee 2.5 D"
"Cherokee 2.8 CRD"
"Cherokee 2.8 CRD Limited Automatic"
"Cherokee 3.7 Limited"
"Cherokee Limited 2.8 CRD 4x4"
"Cherokee Limited 2.8 CRD 4x4 Automatic"
"Cherokee Limited 3.7"
"Cherokee LTD 2.8 CRD 4WD"
"Cherokee LTD 2.8 CRD 4x4"
"Cherokee LTD 2.8 CRD 4x4 Automatic"
"Cherokee LTD 3.7 Automatic"
"Cherokee LTD 3.7 V6 4x4 Automatic"
"Cherokee Renegade 2.8 CRD 4x4 Automatic"
"Cherokee Renegade 3.7 V6 4x4 Automatic"
"Cherokee Sport 2.4"
"Cherokee Sport 2.5 CRD"
"Cherokee Sport 2.5 TD"
"Cherokee Sport 2.8 CRD"
"Cherokee Sport 2.8 CRD 4WD"
"Cherokee Sport 2.8 CRD 4x4"
"Cherokee Sport 2.8 CRD 4x4 Automatic"
"Cherokee Sport 2.8 CRD Automatic"
"Cherokee Sport 3.7"
"Cherokee Sport 3.7 Automatic"
"Cherokee Sport 3.7 V6 4x4 Automatic"
"CJ2 A"
"CJ2A"
"CJ 3A"
"CJ3A"
"CJ 5"
"CJ5"
"CJ5 3.2 D"
"CJ5 3.7"
"CJ 5 3700"
"CJ 5 D"
"CJ 7"
"CJ7"
"CJ7 2.1 D"
"Commander"
"Commander 3.0 CRD"
"Commander 3.0 Limited"
"Commander 3.0 Sport"
"Commander 3.7"
"Commander 3.7 Sport 4WD"
"Commander 3.7 Sport 4x4"
"Commander 4.7"
"Commander 4.7 Limited"
"Commander 4.7 Limited 4x4"
"Commander 4.7 V8"
"Commander 5.7"
"Commander 5.7 Hemi"
"Commander 5.7 Limited"
"Commander 5.7 Overland"
"Commander 5.7 Overland 4x4"
"Commander 5.7 V8"
"Commander 5.7 V8 Hemi"
"Commander Limited"
"Commander Limited 4x4"
"Commander Overland"
"Commander Overland 4WD"
"Commander Overland 4x4"
"Commander Sport"
"Commander Sport 3.7"
"Commander Sport 4WD"
"Compass"
"Compass 2.0"
"Compass 2.0 CRD"
"Compass 2.0 CRD Limited"
"Compass 2.4"
"Compass 2.4 Limited"
"Compass 2.4 Limited 4WD"
"Compass 2.4 Limited 4x4"
"Compass 2.4 Limited Automatic"
"Compass 2.4 Sport"
"Compass 2.4 Sport 4x4"
"Compass Sport 2.4"
"Compass Sport 2.4 4x4"
"Dakar"
"Grand Cherokee"
"Grand Cherokee 2.5 D"
"Grand Cherokee 2.7 D"
"Grand Cherokee 3.0 CRD"
"Grand Cherokee 3.0 CRD Overland"
"Grand Cherokee 3.0 CRD Overland 4WD Automatic"
"Grand Cherokee 3.1 D"
"Grand Cherokee 3.7"
"Grand Cherokee 4.7"
"Grand Cherokee 4.7 Limited"
"Grand Cherokee 4.7 Limited 4x4"
"Grand Cherokee 5.7 Hemi"
"Grand Cherokee 5.7 Overland"
"Grand Cherokee 5.7 Overland 4x4"
"Grand Cherokee 5.7 V8 Hemi"
"Grand Cherokee 5.9"
"Grand Cherokee Columbia"
"Grand Cherokee Freedom"
"Grand Cherokee Freedom 4WD"
"Grand Cherokee Laredo"
"Grand Cherokee Laredo 3.0 CRD"
"Grand Cherokee Laredo 3.0 CRD 4x4 Automatic"
"Grand Cherokee Laredo 4.7"
"Grand Cherokee Laredo 4.7 V8 4x4 Automatic"
"Grand Cherokee Laredo 4x4"
"Grand Cherokee Laredo V8"
"Grand Cherokee Limited"
"Grand Cherokee Limited 4WD"
"Grand Cherokee Limited 4x4"
"Grand Cherokee Limited Hemi 5.7 V8"
"Grand Cherokee LTD 2.7 TD"
"Grand Cherokee LTD 3.0 CRD"
"Grand Cherokee LTD 3.0 CRD 4x4 Automatic"
"Grand Cherokee LTD 4.7"
"Grand Cherokee LTD Hemi 5.7"
"Grand Cherokee Overland"
"Grand Cherokee Overland 4.7 Automatic"
"Grand Cherokee Overland 4x4"
"Grand Cherokee SRT-8"
"Grand Cherokee SRT8"
"Grand Wagoneer"
"Grand Wagoneer 5900"
"Icon"
"Jeep 2.3 LWB"
"Jeep 2.4 LWB"
"Jeep 2.7 D LWB"
"Jeep LWB"
"Jeep MB"
"Jeepster"
"Jeepster VJ2"
"Jeepster VJ2 2.2"
"Jeepster VJ2 2.4"
"Jeepster VJ2 2400"
"Liberty"
"Liberty Columbia"
"Liberty Columbia 4WD"
"Liberty Limited"
"Liberty Limited 4WD"
"Liberty Limited 4x4"
"Liberty Renegade"
"Liberty Renegade 4WD"
"Liberty Rocky Mountain"
"Liberty Rocky Mountain 4WD"
"Liberty Sport"
"Liberty Sport 4WD"
"Liberty Sport 4x4"
"MB"
"Patriot 2.0"
"Patriot 2.0 CRD"
"Patriot 2.0 Limited Diesel"
"Patriot 2.4"
"Patriot 2.4 Limited"
"Patriot 2.4 Limited 4WD"
"Patriot 2.4 Limited CVT"
"Patriot EV Concept"
"Patriot Limited"
"Patriot Limited 4x4"
"Patriot Sport"
"Patriot Sport 4x4"
"Station Wagon"
"Station Wagon 2.2"
"Station Wagon 2.6"
"Varsity"
"Willys"
"Willys 2"
"Wrangler"
"Wrangler 2.4"
"Wrangler 2.4 Sport"
"Wrangler 2.5"
"Wrangler 2.5 D"
"Wrangler 2.8 CRD"
"Wrangler 2.8 CRD Unlimited"
"Wrangler 3.0 Sport"
"Wrangler 3.8"
"Wrangler 3.8 Rubicon"
"Wrangler 3.8 Sahara"
"Wrangler 3.8 Sahara 4x4"
"Wrangler 3.8 Unlimited"
"Wrangler 3.8 Unlimited Rubicon"
"Wrangler 3.8 Unlimited Sahara"
"Wrangler 3.8 Unlimited Sahara 4x4"
"Wrangler 3.8 Unlimited X"
"Wrangler 3.8 Unlimited X 4x4"
"Wrangler 3.8 V6"
"Wrangler 3.8 V6 Unlimited"
"Wrangler 3.8 X"
"Wrangler 4.0"
"Wrangler 4.0 Rubicon"
"Wrangler 4.0 Sahara"
"Wrangler 4.0 Sahara 4x4"
"Wrangler 4.0 Sahara Automatic"
"Wrangler 4.0 Sport"
"Wrangler 4.0 Sport 4x4"
"Wrangler Rubicon"
"Wrangler Rubicon 3.8"
"Wrangler Rubicon 4.0"
"Wrangler Sahara"
"Wrangler Sahara 3.8"
"Wrangler SE"
"Wrangler Sport"
"Wrangler Unlimited"
"Wrangler Unlimited Rubicon"
"Wrangler X"
"Wrangler X 4x4"
