"10 Break"
1300
"1300 1.3"
1500
"1500 TC"
1800
2000
"2000 2.5"
"2000 Mk II Estate"
"2.5 PI"
"Acclaim"
"Dolomite"
"Dolomite 1.5"
"Dolomite 2.0"
"Dolomite Sprint"
"Dove GTR 4"
"Dove GTR4"
"GT6"
"GT6 Mk I"
"GT6 Mk III"
"Herald"
"Herald 1.1"
"Herald 1100"
"Herald 1150"
"Herald 1300"
"Herald Cabriolet"
"Herald Cabriolet 1000"
"Herald Cabriolet 1100"
"Herald Coupe"
"Herald Saloon"
"Mayflower"
"Renown"
"Renown 2000"
"Roadster"
"Roadster 2.1"
"Roadster TRX"
"Spitfire 1500"
"Spitfire 1.5 1500"
"Spitfire 1.5 MK IV"
"Spitfire Mk I"
"Spitfire Mk II"
"Spitfire Mk III"
"Spitfire MK III"
"Spitfire MK IV"
"Stag"
"Toledo"
"TR2"
"TR 2.0 7"
"TR 2.5 6"
"TR 3"
"TR3"
"TR 3.5 7"
"TR 4"
"TR4"
"TR 5"
"TR 6"
"TR6"
"TR 7"
"TR7"
"TR7 Automatic"
"TR 7 Cabriolet"
"TR8"
"Vitesse"
"Vitesse 2.0"
"Vitesse 2.0 Cabriolet"
"Vitesse Cabriolet"
