"9-3 2.0T Vector Automatic"
"9-3 2.0 T Vector Sport"
"9-3 2.0 T Vector Sport Automatic"
"9-3 2.0 Vector"
"9-3 2.0 Vector Sport"
"9-3 2.0 Vector Sport Automatic"
"9-3 Sport Sedan Vector T"
"9-3 Sport Sedan Vector T Automatic"
"9-5 2.3 Vector"
"9-5 2.3 Vector Automatic"
"9-5 3.0 Vector Automatic"
"M 12"
"RD 180"
"Wiegert Vector W8 Twin Turbo"
