"Avanti"
"Avanti 5.0"
"Avanti 5.7"
"Avanti 6.6"
"Avanti II Limousine"
"Avantime"
"Avantime 2.0 T"
"Avantime 2.2 dCi"
"Avantime 3.0"
"Avantime 3.0 Automatic"
"Avantissimo"
"Sport Convertible"
"Sport Convertible 5.7"
"Studebaker 6.0 D XUV"
"Studebaker XUV"
