"Arta Autobacs Aguri NSX"
"CL"
"CL X"
"EL"
"Integra"
"Integra 1.8"
"Integra GS-R"
"Integra GS-R Sedan"
"Integra RS"
"Integra Type R"
"Legend"
"Legend Automatic"
"Legend Coupe Automatic"
"Limited NSX-T Twin Turbo"
"Loctite Dome Project NSX"
"Loctite NSX"
"MDX"
"MDX Premium"
"MDX Sport"
"MDX Sport Package"
"MDX Sport Utility"
"MDX Tech"
"MDX Tech Package"
"MDX Touring Package"
"MDX V20"
"NSX"
"NSX 3.0"
"Nsx 3.2"
"NSX 3.2"
"NSX GT"
"NSX Raybrig"
"NSX-T"
"RDX"
"RDX 5-speed Automatic"
"RDX Automatic"
"RDX Automatic Tech Package"
"RDX Tech Package Automatic"
"RL"
"RL Sedan"
"RL Technology Package"
"RL Tech Package"
"RSX"
"RSX 2.0"
"RSX Automatic"
"RSX Modified"
"RSX Type S"
"RSX Type-S"
"SLX"
"TL"
"TL Automatic"
"TL Automatic SH-AWD"
"TL Automatic SH-AWD Technology Package"
"TL Automatic Tech Package"
"TL S"
"TL S Automatic"
"TL Sedan"
"TL Type S"
"TL Type S Automatic"
"TSX"
"TSX Automatic"
"TSX Automatic Tech Package"
"TSX Tech Package"
