"Altis"
"Applause"
"Applause 1.6"
"Applause 1.6 Xi"
"Applause 4WD"
"Applause Automatic"
"Atrai 7"
"Bee"
"Charade"
"Charade 1.0"
"Charade 1.0 CS"
"Charade 1.0 CX"
"Charade 1.0 CX Automatic"
"Charade 1.0 CXL"
"Charade 1.0 CXL Automatic"
"Charade 1.0 CX Turbo"
"Charade 1.0 Diesel"
"Charade 1.3"
"Charade 1.3 GXi"
"Charade 1.5"
"Charade 1.6"
"Charade Celeb"
"Charade Classic"
"Charade CX"
"Charade CX Automatic"
"Charade CXL"
"Charade Diesel"
"Charade EL"
"Charade EL Automatic"
"Charade Sedan SG"
"Charade SL Automatic"
"Charade Turbo"
"Charade Turbodiesel"
"Charade XLE"
"Charade XLE Automatic"
"Charmant"
"Charmant 1.3"
"Charmant 1.3 Station Wagon"
"Charmant 1.4"
"Charmant 1.4 Station Wagon"
"Charmant 1.6"
"Charmant 1.6 Station Wagon"
"Charmant Station Wagon"
"Compagno 1000"
"Compagno Belurin A800"
"Compagno Spider"
"Consorte"
"Consorte 1000"
"Consorte 1.2"
"Consorte 1200 S"
"Copen"
"Copen 0.7"
"Copen 1.3"
"Copen 1.3 DVVTi"
"Copen Active Top"
"Copen Sard Special"
"Cuore"
"Cuore 1.0"
"Cuore 1.0 Automatic"
"Cuore 1.0 Plus"
"Cuore 1.0 Top"
"Delta"
"Delta 1.8"
"Domino"
"Fellow Max"
"Fellow Max GL Hardtop"
"Fellow Max SS"
"Feroza"
"Feroza 1.6i SX"
"Feroza SE"
"Fourtrak TDX"
"Freeclimber"
"Gran Move"
"Gran Move 1.5"
"Gran Move 1.5 Automatic"
"Leeza"
"Leeza Turbo"
"Leeza Turbo Injection"
"Materia 1.3"
"Materia 1.5"
"Materia 1.5i"
"Materia 1.5i Automatic"
"Micros 3l"
"Mira"
"Mira Gino"
"Mira Gino 4WD"
"Mira Gino S"
"Mira Gino S 4WD"
"Mira Gino Turbo 4WD"
"Mira TR-XX Avanzato R4"
"Move"
"Move Automatic"
"Move SGX"
"Muse"
"Naked"
"Naked G"
"Naked G 4WD"
"Naked G 4WD Automatic"
"Naked G Automatic"
"Naked G Turbo"
"Naked G Turbo 4WD"
"Naked Turbo"
"Opti"
"Opti Automatic"
"Opti CL Automatic"
"Opti CX Automatic"
"Rocky"
"Rocky 2.8 D"
"Rocky 2.8 D Wagon"
"Rocky Wagon"
"Sirion"
"Sirion 1.0"
"Sirion 1.0 Plus"
"Sirion 1.3"
"Sirion 1.3 4WD"
"Sirion 1.3 Automatic"
"Sirion 1.3 CXL Automatic"
"Sirion 1.3 DRD"
"Sirion 1.3 Eco AWD"
"Sirion 1.3i Automatic"
"Sirion 1.3i Sport Automatic"
"Sirion 1.3 Sport"
"Sirion 1.3 SportAutomatic"
"Sirion 1.5i Sport"
"Sirion 1.5i Sport Automatic"
"Sirion 1.5S"
"Sirion 1.5 Sport Automatic"
"SP-4"
"Taft"
"Taft 1.0"
"Taft 1.6"
"Taft 2.5 D"
"Taft 2.8 D"
"Terios"
"Terios 1.3"
"Terios 1.3 4WD"
"Terios 1.3 Pur"
"Terios 1.5"
"Terios 1.5 4x4"
"Terios 1.5i"
"Terios 1.5i 4WD"
"Terios 1.5i 4WD Automatic"
"Terios 1.5i 4x4 Automatic"
"Terios 1.5i Top"
"Terios 1.5 Top"
"Terios CL"
"Terios II 1.5i"
"Terios II 1.5i 4x4"
"Trevis"
"U4 B"
"YRV"
"YRV 1.0 L"
"YRV 1.0 L Automatic"
"YRV 1.0 Plus"
"YRV 1.3"
"YRV 1.3 Automatic"
"YRV 1.3 GTi"
"YRV 1.3 GTti"
"YRV 1.3 Plus"
"YRV 1.3 R Turbo 4WD"
"YRV 1.3 S"
"YRV 1.3 S 4WD Automatic"
"YRV 1.3 S Automatic"
"YRV 1.3 Turbo"
