"Aria Coupe"
"B-Line LE"
"E 220"
"E220"
"Estate"
"Indica"
"Indica 1.4"
"Indica 1.4 D"
"Indica 1.4 DLS"
"Indica 1.4 LE"
"Indica 1.4 LSi"
"Indica Dicor"
"Indica DLS"
"Indica DLX"
"Indica LEi"
"Indica LE LTD"
"Indica LSi"
"Indica LX"
"Indica LXi"
"Indigo"
"Indigo 1.4"
"Indigo 1.4 D"
"Indigo 1.4 GLS"
"Indigo 1.4 GLX"
"Indigo 1.4 GLX (2008)"
"Indigo 1.4 GSX"
"Indigo GLS"
"Indigo GLX"
"Indigo SW 1.4"
"Indigo SW 1.4 GLS"
"Indigo SW 1.4 GLX"
"Indigo SW Dicor"
"Indigo SW GLS"
"Indigo SW GLX"
"Mint"
"Safari"
"Safari 1.9 D"
"Sumo"
